21/07/2013 22:49:36.415053 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 6
21/07/2013 22:49:36.421529 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 6
21/07/2013 22:49:36.422911 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 6
21/07/2013 22:49:36.424102 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 6
21/07/2013 22:49:36.426579 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 5
21/07/2013 22:49:36.430177 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 5
21/07/2013 22:49:36.431274 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 5
21/07/2013 22:49:36.432423 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 5
21/07/2013 22:49:36.434950 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 4
21/07/2013 22:49:36.437497 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 4
21/07/2013 22:49:36.438452 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 4
21/07/2013 22:49:36.439622 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 4
21/07/2013 22:49:36.442072 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 3
21/07/2013 22:49:36.444610 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 3
21/07/2013 22:49:36.445552 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 3
21/07/2013 22:49:36.446729 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 3
21/07/2013 22:49:36.449191 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 2
21/07/2013 22:49:36.452245 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 2
21/07/2013 22:49:36.453260 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 2
21/07/2013 22:49:36.454451 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 2
21/07/2013 22:49:36.457030 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 1
21/07/2013 22:49:36.460502 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 1
21/07/2013 22:49:36.461535 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 1
21/07/2013 22:49:36.462747 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 1
21/07/2013 22:49:36.465284 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 0
21/07/2013 22:49:36.469122 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 0
21/07/2013 22:49:36.470160 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 0
21/07/2013 22:49:36.471329 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 0
21/07/2013 22:49:36.535915 [scalapnt_fractal_2000_proximity_heuristic] COMMIT
21/07/2013 22:49:36.536408 [scalapnt_fractal_2000_cellbound_lp] BEGIN_TRANSACTION
21/07/2013 22:49:42.436857 [scalapnt_fractal_2000_cellbound_lp] initialized
21/07/2013 22:49:42.437222 [scalapnt_fractal_2000_cellbound_lp] solver "lp"
21/07/2013 22:49:42.437529 [scalapnt_fractal_2000_cellbound_lp] constraints "cellbound(16,)"
21/07/2013 22:49:42.440321 [scalapnt_fractal_2000_cellbound_lp] inputstats {'geometry_types': ['POINT'], 'input': '(select * from pnt_30m_synthetic where x_order <= 2000) t', 'total_rank': 1009.3422056194395, 'total_recs': 2000L}
21/07/2013 22:49:42.442967 [scalapnt_fractal_2000_cellbound_lp] initialized_level 9
21/07/2013 22:49:42.790634 [scalapnt_fractal_2000_cellbound_lp] found_conflicts 9
21/07/2013 22:49:44.174450 [scalapnt_fractal_2000_cellbound_lp] resolved_conflicts 9
21/07/2013 22:49:44.175785 [scalapnt_fractal_2000_cellbound_lp] finalized_level 9
21/07/2013 22:49:44.178428 [scalapnt_fractal_2000_cellbound_lp] initialized_level 8
21/07/2013 22:49:44.201935 [scalapnt_fractal_2000_cellbound_lp] found_conflicts 8
21/07/2013 22:49:44.217481 [scalapnt_fractal_2000_cellbound_lp] resolved_conflicts 8
21/07/2013 22:49:44.218684 [scalapnt_fractal_2000_cellbound_lp] finalized_level 8
21/07/2013 22:49:44.221193 [scalapnt_fractal_2000_cellbound_lp] initialized_level 7
21/07/2013 22:49:44.231760 [scalapnt_fractal_2000_cellbound_lp] found_conflicts 7
21/07/2013 22:49:44.233013 [scalapnt_fractal_2000_cellbound_lp] resolved_conflicts 7
21/07/2013 22:49:44.234224 [scalapnt_fractal_2000_cellbound_lp] finalized_level 7
21/07/2013 22:49:44.236829 [scalapnt_fractal_2000_cellbound_lp] initialized_level 6
21/07/2013 22:49:44.248981 [scalapnt_fractal_2000_cellbound_lp] found_conflicts 6
21/07/2013 22:49:44.257929 [scalapnt_fractal_2000_cellbound_lp] resolved_conflicts 6
21/07/2013 22:49:44.259133 [scalapnt_fractal_2000_cellbound_lp] finalized_level 6
21/07/2013 22:49:44.261654 [scalapnt_fractal_2000_cellbound_lp] initialized_level 5
21/07/2013 22:49:44.271175 [scalapnt_fractal_2000_cellbound_lp] found_conflicts 5
21/07/2013 22:49:44.278292 [scalapnt_fractal_2000_cellbound_lp] resolved_conflicts 5
21/07/2013 22:49:44.279486 [scalapnt_fractal_2000_cellbound_lp] finalized_level 5
21/07/2013 22:49:44.282112 [scalapnt_fractal_2000_cellbound_lp] initialized_level 4
21/07/2013 22:49:44.289766 [scalapnt_fractal_2000_cellbound_lp] found_conflicts 4
21/07/2013 22:49:44.291036 [scalapnt_fractal_2000_cellbound_lp] resolved_conflicts 4
21/07/2013 22:49:44.292208 [scalapnt_fractal_2000_cellbound_lp] finalized_level 4
21/07/2013 22:49:44.294730 [scalapnt_fractal_2000_cellbound_lp] initialized_level 3
21/07/2013 22:49:44.303224 [scalapnt_fractal_2000_cellbound_lp] found_conflicts 3
21/07/2013 22:49:44.308985 [scalapnt_fractal_2000_cellbound_lp] resolved_conflicts 3
21/07/2013 22:49:44.310210 [scalapnt_fractal_2000_cellbound_lp] finalized_level 3
21/07/2013 22:49:44.312832 [scalapnt_fractal_2000_cellbound_lp] initialized_level 2
21/07/2013 22:49:44.320371 [scalapnt_fractal_2000_cellbound_lp] found_conflicts 2
21/07/2013 22:49:44.326916 [scalapnt_fractal_2000_cellbound_lp] resolved_conflicts 2
21/07/2013 22:49:44.328119 [scalapnt_fractal_2000_cellbound_lp] finalized_level 2
21/07/2013 22:49:44.330688 [scalapnt_fractal_2000_cellbound_lp] initialized_level 1
21/07/2013 22:49:44.336346 [scalapnt_fractal_2000_cellbound_lp] found_conflicts 1
21/07/2013 22:49:44.337609 [scalapnt_fractal_2000_cellbound_lp] resolved_conflicts 1
21/07/2013 22:49:44.338777 [scalapnt_fractal_2000_cellbound_lp] finalized_level 1
21/07/2013 22:49:44.341245 [scalapnt_fractal_2000_cellbound_lp] initialized_level 0
21/07/2013 22:49:44.347806 [scalapnt_fractal_2000_cellbound_lp] found_conflicts 0
21/07/2013 22:49:44.354316 [scalapnt_fractal_2000_cellbound_lp] resolved_conflicts 0
21/07/2013 22:49:44.355524 [scalapnt_fractal_2000_cellbound_lp] finalized_level 0
21/07/2013 22:49:44.415067 [scalapnt_fractal_2000_cellbound_lp] COMMIT
21/07/2013 22:49:44.415566 [scalapnt_fractal_4000_cellbound_heuristic] BEGIN_TRANSACTION
21/07/2013 22:49:50.333610 [scalapnt_fractal_4000_cellbound_heuristic] initialized
21/07/2013 22:49:50.333983 [scalapnt_fractal_4000_cellbound_heuristic] solver "heuristic"
21/07/2013 22:49:50.334295 [scalapnt_fractal_4000_cellbound_heuristic] constraints "cellbound(16,)"
